"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Aaron Jones","RB","GB","4","-","-","2","-","bye","5","","","","","","","","","","","","11","3.7"
"Samori Toure","WR","GB","3","2","3","1","0","bye","2","","","","","","","","","","","","11","1.8"
"Austin Hooper","TE","LV","1","2","0","2","2","2","2","","","","","","","","","","","","11","1.6"
"Ameer Abdullah","RB","LV","1","3","3","2","1","1","0","","","","","","","","","","","","11","1.6"
"De'Von Achane","RB","MIA","-","1","4","5","1","-","-","","","","","","","","","","","","11","2.8"
"Jonathan Taylor","RB","IND","-","-","-","-","1","6","4","","","","","","","","","","","","11","3.7"
"David Montgomery","RB","DET","0","1","-","2","6","1","-","","","","","","","","","","","","10","2.0"
"Marvin Jones Jr.","WR","DET","6","0","0","1","2","1","-","","","","","","","","","","","","10","1.7"
"James Conner","RB","ARI","5","1","2","2","0","-","-","","","","","","","","","","","","10","2.0"
"Patrick Taylor Jr.","RB","GB","0","1","4","-","5","bye","-","","","","","","","","","","","","10","2.5"
"Latavius Murray","RB","BUF","2","2","1","2","1","0","2","","","","","","","","","","","","10","1.4"
"Khalil Shakir","WR","BUF","0","1","1","1","1","1","4","","","","","","","","","","","","9","1.3"
"Noah Brown","WR","HOU","4","-","-","-","-","5","bye","","","","","","","","","","","","9","4.5"
"Marquise Goodwin","WR","CLE","2","2","0","1","bye","2","2","","","","","","","","","","","","9","1.5"
"Chris Moore","WR","TEN","1","1","3","3","0","1","bye","","","","","","","","","","","","9","1.5"
"Zach Charbonnet","RB","SEA","0","2","2","3","bye","2","-","","","","","","","","","","","","9","1.8"
"Ty Montgomery II","RB","NE","3","1","0","0","4","1","0","","","","","","","","","","","","9","1.3"
"D'Onta Foreman","RB","CHI","3","-","-","-","-","1","5","","","","","","","","","","","","9","3.0"
"Jalen Tolbert","WR","DAL","1","4","0","4","0","0","bye","","","","","","","","","","","","9","1.5"
"Dalvin Cook","RB","NYJ","3","1","3","1","0","1","bye","","","","","","","","","","","","9","1.5"
"Cedrick Wilson Jr.","WR","MIA","-","-","0","2","4","0","3","","","","","","","","","","","","9","1.8"
"Olamide Zaccheaus","WR","PHI","0","0","3","2","0","2","1","","","","","","","","","","","","8","1.1"
"Trent Sherfield","WR","BUF","0","0","3","3","1","0","1","","","","","","","","","","","","8","1.1"
"Ray-Ray McCloud III","WR","SF","0","0","0","2","1","2","3","","","","","","","","","","","","8","1.1"
"Zach Pascal","WR","ARI","1","1","0","4","1","1","-","","","","","","","","","","","","8","1.3"
"River Cracraft","WR","MIA","5","2","1","-","-","-","-","","","","","","","","","","","","8","2.7"
"Cam Akers","RB","MIN","0","-","-","2","2","1","3","","","","","","","","","","","","8","1.6"
"AJ Dillon","RB","GB","3","1","0","1","1","bye","2","","","","","","","","","","","","8","1.3"
"Kendre Miller","RB","NO","-","-","1","1","4","2","0","","","","","","","","","","","","8","1.6"
"Tim Jones","WR","JAC","0","0","3","1","1","0","2","","","","","","","","","","","","7","1.0"
"Clyde Edwards-Helaire","RB","KC","1","2","1","1","0","1","1","","","","","","","","","","","","7","1.0"
"Devin Duvernay","WR","BAL","0","3","1","2","1","0","0","","","","","","","","","","","","7","1.0"
"Devin Singletary","RB","HOU","0","1","2","1","1","2","bye","","","","","","","","","","","","7","1.2"
"Laviska Shenault Jr.","WR","CAR","2","0","1","1","0","3","bye","","","","","","","","","","","","7","1.2"
"David Bell","WR","CLE","1","3","0","0","bye","3","0","","","","","","","","","","","","7","1.2"
"Harrison Bryant","TE","CLE","2","2","0","1","bye","1","1","","","","","","","","","","","","7","1.2"
"Isaiah McKenzie","WR","IND","0","1","1","3","0","2","0","","","","","","","","","","","","7","1.0"
"Robert Tonyan","TE","CHI","0","2","0","2","2","1","0","","","","","","","","","","","","7","1.0"
"Josiah Deguara","TE","GB","0","2","0","4","1","bye","0","","","","","","","","","","","","7","1.2"
"Gary Brightwell","RB","NYG","2","0","3","2","-","-","-","","","","","","","","","","","","7","1.8"
"Tre Tucker","WR","LV","-","1","0","0","1","2","3","","","","","","","","","","","","7","1.2"
"John Metchie III","WR","HOU","-","1","2","2","2","0","bye","","","","","","","","","","","","7","1.4"
"Kareem Hunt","RB","CLE","-","-","3","0","bye","3","1","","","","","","","","","","","","7","1.8"
"KhaDarel Hodge","WR","ATL","0","0","1","2","1","1","1","","","","","","","","","","","","6","0.9"
"Kyle Juszczyk","RB","SF","0","0","0","1","4","1","-","","","","","","","","","","","","6","1.0"
"Brenton Strange","TE","JAC","0","0","2","0","1","3","0","","","","","","","","","","","","6","0.9"
"Luke Schoonmaker","TE","DAL","0","1","1","3","1","0","bye","","","","","","","","","","","","6","1.0"
"Justyn Ross","WR","KC","1","0","1","0","4","0","0","","","","","","","","","","","","6","0.9"
"Brock Wright","TE","DET","2","0","0","0","3","1","0","","","","","","","","","","","","6","0.9"
"Jordan Akins","TE","CLE","1","1","0","2","bye","2","0","","","","","","","","","","","","6","1.0"
"Trayveon Williams","RB","CIN","0","2","2","0","0","2","bye","","","","","","","","","","","","6","1.0"
"Tony Jones Jr.","RB","NO","0","2","4","0","-","-","-","","","","","","","","","","","","6","1.5"
"Ty Chandler","RB","MIN","1","2","2","0","0","0","1","","","","","","","","","","","","6","0.9"
"Deon Jackson","RB","IND","6","-","-","-","-","-","-","","","","","","","","","","","","6","6.0"
"Mo Alie-Cox","TE","IND","2","1","0","1","1","0","1","","","","","","","","","","","","6","0.9"
"Derius Davis","WR","LAC","1","0","1","2","bye","0","2","","","","","","","","","","","","6","1.0"
"Will Dissly","TE","SEA","2","3","-","0","bye","1","0","","","","","","","","","","","","6","1.2"
"Zamir White","RB","LV","1","0","0","0","-","2","3","","","","","","","","","","","","6","1.0"
"Sterling Shepard","WR","NYG","1","1","0","1","2","0","1","","","","","","","","","","","","6","0.9"
"Rico Dowdle","RB","DAL","0","1","3","1","1","0","bye","","","","","","","","","","","","6","1.0"
"KaVontae Turpin","WR","DAL","3","1","0","1","1","0","bye","","","","","","","","","","","","6","1.0"
"Mecole Hardman Jr.","WR","KC","-","1","0","0","-","2","3","","","","","","","","","","","","6","1.2"
"Byron Pringle","WR","WAS","-","1","0","2","2","0","1","","","","","","","","","","","","6","1.0"
"Tanner Hudson","TE","CIN","-","-","4","2","-","-","bye","","","","","","","","","","","","6","3.0"
"MyCole Pruitt","TE","ATL","0","0","1","1","1","2","0","","","","","","","","","","","","5","0.7"
"Pharaoh Brown","TE","NE","0","0","2","0","0","1","2","","","","","","","","","","","","5","0.7"
"C.J. Uzomah","TE","NYJ","0","0","1","1","2","1","bye","","","","","","","","","","","","5","0.8"
"Gus Edwards","RB","BAL","0","0","0","3","0","1","1","","","","","","","","","","","","5","0.7"
"Scott Miller","WR","ATL","0","0","0","0","2","2","1","","","","","","","","","","","","5","0.7"
"Joshua Kelley","RB","LAC","1","1","1","0","bye","2","0","","","","","","","","","","","","5","0.8"
"DeeJay Dallas","RB","SEA","1","0","1","1","bye","1","1","","","","","","","","","","","","5","0.8"
"Ben Skowronek","WR","LAR","2","1","1","0","1","0","0","","","","","","","","","","","","5","0.7"
"Quez Watkins","WR","PHI","2","0","-","-","3","-","-","","","","","","","","","","","","5","1.7"
"Lil'Jordan Humphrey","WR","DEN","2","2","0","1","0","0","0","","","","","","","","","","","","5","0.7"
"DeAndre Carter","WR","LV","1","1","1","0","1","1","0","","","","","","","","","","","","5","0.7"
"Deuce Vaughn","RB","DAL","0","3","-","1","1","-","bye","","","","","","","","","","","","5","1.3"
