#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,,,,
172,Noah Fant,TE,CIN,8.6,2.8,,,,,,,,,,,,,,,,,5.7,11.4,Noah Fant,,2.8,8.6
173,Jordan Mason,RB,MIN,7.5,3.8,,,,,,,,,,,,,,,,,5.7,11.3,Jordan Mason,,3.8,7.5
174,Joshua Karty,K,LAR,2,9,,,,,,,,,,,,,,,,,5.5,11,Joshua Karty,,2,9
174,Washington Commanders,DST,WAS,9,2,,,,,,,,,,,,,,,,,5.5,11,Washington Commanders,,2,9
174,Riley Patterson,K,MIA,0,11,,,,,,,,,,,,,,,,,5.5,11,Riley Patterson,,0,11
177,Miles Sanders,RB,DAL,3,7.9,,,,,,,,,,,,,,,,,5.5,10.9,Miles Sanders,,3,7.9
178,Chris Olave,WR,NO,5.4,5.4,,,,,,,,,,,,,,,,,5.4,10.8,Chris Olave,,5.4,5.4
178,Joshua Palmer,WR,BUF,6.1,4.7,,,,,,,,,,,,,,,,,5.4,10.8,Joshua Palmer,,4.7,6.1
180,Elijah Moore,WR,BUF,1.1,9.7,,,,,,,,,,,,,,,,,5.4,10.8,Elijah Moore,,1.1,9.7
181,Mike Evans,WR,TB,5.1,5.6,,,,,,,,,,,,,,,,,5.4,10.7,Mike Evans,,5.1,5.6
182,Jake Tonges,TE,SF,7.5,3.1,,,,,,,,,,,,,,,,,5.3,10.6,Jake Tonges,,3.1,7.5
183,Sam LaPorta,TE,DET,7.9,2.6,,,,,,,,,,,,,,,,,5.3,10.5,Sam LaPorta,,2.6,7.9
183,Cooper Kupp,WR,SEA,1.5,9,,,,,,,,,,,,,,,,,5.3,10.5,Cooper Kupp,,1.5,9
183,Jayden Reed,WR,GB,10.5,0,,,,,,,,,,,,,,,,,5.3,10.5,Jayden Reed,,0,10.5
186,Alec Pierce,WR,IND,3.6,6.8,,,,,,,,,,,,,,,,,5.2,10.4,Alec Pierce,,3.6,6.8
187,Isaac TeSlaa,WR,DET,7.3,2.9,,,,,,,,,,,,,,,,,5.1,10.2,Isaac TeSlaa,,2.9,7.3
187,Jonnu Smith,TE,PIT,7.5,2.7,,,,,,,,,,,,,,,,,5.1,10.2,Jonnu Smith,,2.7,7.5
187,DJ Moore,WR,CHI,5.6,4.6,,,,,,,,,,,,,,,,,5.1,10.2,DJ Moore,,4.6,5.6
190,Jake Ferguson,TE,DAL,2.3,7.8,,,,,,,,,,,,,,,,,5.1,10.1,Jake Ferguson,,2.3,7.8
191,Andre Szmyt,K,CLE,5,5,,,,,,,,,,,,,,,,,5,10,Andre Szmyt,,5,5
191,Blake Grupe,K,NO,7,3,,,,,,,,,,,,,,,,,5,10,Blake Grupe,,3,7
191,Cairo Santos,K,CHI,7,3,,,,,,,,,,,,,,,,,5,10,Cairo Santos,,3,7
191,Minnesota Vikings,DST,MIN,5,5,,,,,,,,,,,,,,,,,5,10,Minnesota Vikings,,5,5
191,Buffalo Bills,DST,BUF,0,10,,,,,,,,,,,,,,,,,5,10,Buffalo Bills,,0,10
191,Eddy Pineiro,K,SF,-,10,,,,,,,,,,,,,,,,,10,10,Eddy Pineiro,,10,10
197,Kyle Pitts Sr.,TE,ATL,5.9,3.7,,,,,,,,,,,,,,,,,4.8,9.6,Kyle Pitts Sr.,,3.7,5.9
198,RJ Harvey,RB,DEN,6.9,2.4,,,,,,,,,,,,,,,,,4.7,9.3,RJ Harvey,,2.4,6.9
199,Tory Horton,WR,SEA,0,9.2,,,,,,,,,,,,,,,,,4.6,9.2,Tory Horton,,0,9.2
200,Antonio Gibson,RB,NE,0.3,8.8,,,,,,,,,,,,,,,,,4.6,9.1,Antonio Gibson,,0.3,8.8
200,TreVeyon Henderson,RB,NE,5.1,4,,,,,,,,,,,,,,,,,4.6,9.1,TreVeyon Henderson,,4,5.1
202,Ryan Fitzgerald,K,CAR,5,4,,,,,,,,,,,,,,,,,4.5,9,Ryan Fitzgerald,,4,5
202,AJ Barner,TE,SEA,0.2,8.8,,,,,,,,,,,,,,,,,4.5,9,AJ Barner,,0.2,8.8
202,Matt Gay,K,WAS,3,6,,,,,,,,,,,,,,,,,4.5,9,Matt Gay,,3,6
202,Younghoe Koo,K,ATL,9,-,,,,,,,,,,,,,,,,,9,9,Younghoe Koo,,9,9
206,Stefon Diggs,WR,NE,5.7,3.2,,,,,,,,,,,,,,,,,4.5,8.9,Stefon Diggs,,3.2,5.7
207,Brock Wright,TE,DET,0,8.8,,,,,,,,,,,,,,,,,4.4,8.8,Brock Wright,,0,8.8
208,Omarion Hampton,RB,LAC,6.1,2.5,,,,,,,,,,,,,,,,,4.3,8.6,Omarion Hampton,,2.5,6.1
208,Tyrone Tracy Jr.,RB,NYG,3.5,5.1,,,,,,,,,,,,,,,,,4.3,8.6,Tyrone Tracy Jr.,RB:NYG,3.5,5.1
210,Tylan Wallace,WR,BAL,0,8.5,,,,,,,,,,,,,,,,,4.3,8.5,Tylan Wallace,,0,8.5
210,George Kittle,TE,SF,8.5,-,,,,,,,,,,,,,,,,,8.5,8.5,George Kittle,,8.5,8.5
212,Drake London,WR,ATL,5.5,2.9,,,,,,,,,,,,,,,,,4.2,8.4,Drake London,,2.9,5.5
212,Calvin Ridley,WR,TEN,2.7,5.7,,,,,,,,,,,,,,,,,4.2,8.4,Calvin Ridley,,2.7,5.7
214,Tyrod Taylor,QB,NYJ,-,8.3,,,,,,,,,,,,,,,,,8.3,8.3,Tyrod Taylor,,8.3,8.3
215,Ben Skowronek,WR,PIT,8.2,0,,,,,,,,,,,,,,,,,4.1,8.2,Ben Skowronek,,0,8.2
